 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,4.203E-5,109.339,0.000,147.959,0.171,0.013,0.053,0.167,0.008,0.008,0.010,0.008,0.006,119.720,0.188,0.011,0.005,125.031,-1.177,0.495,100,307679.395,0.171,0.008,111.922,0.008,1.339,0.747,0.749
2,2.040E-5,71.858,0.000,148.013,0.235,0.010,0.022,0.232,0.008,0.006,0.006,0.006,0.004,27.899,0.541,0.007,0.001,87.184,-0.167,-1.564,100,98157.851,0.232,0.011,10.685,0.005,1.413,0.708,0.860
3,2.416E-5,118.366,9.000,147.959,0.100,0.014,0.041,0.097,0.011,0.005,0.007,0.007,0.005,79.623,0.184,0.008,0.003,131.044,-1.297,1.011,100,191516.990,0.098,0.018,71.003,0.005,1.518,0.659,0.740
4,1.598E-4,118.169,3.000,148.013,0.268,0.022,0.188,0.261,0.011,0.017,0.024,0.022,0.009,120.614,0.057,0.025,0.019,124.047,-1.117,1.119,100,1264168.347,0.261,0.011,113.962,0.012,2.318,0.431,0.650
5,3.922E-5,116.818,23.000,147.931,0.431,0.019,0.068,0.427,0.014,0.009,0.009,0.008,0.006,45.637,0.106,0.010,0.005,127.000,-0.846,-0.216,100,306765.231,0.427,0.022,29.659,0.008,1.314,0.761,0.682
6,3.590E-5,141.741,87.184,148.013,0.400,0.021,0.117,0.393,0.015,0.013,0.011,0.011,0.004,42.158,0.033,0.014,0.005,147.026,-1.925,3.694,100,340745.055,0.394,0.025,44.293,0.008,2.448,0.408,0.414
7,2.558E-5,93.632,0.000,147.959,0.121,0.022,0.031,0.117,0.019,0.007,0.005,0.007,0.005,175.475,0.338,0.008,0.002,105.072,-0.670,-0.697,100,160390.901,0.117,0.023,19.904,0.005,1.499,0.667,0.847
8,4.353E-5,103.865,0.000,147.959,0.370,0.028,0.062,0.365,0.022,0.009,0.011,0.011,0.005,127.711,0.141,0.012,0.005,119.064,-1.184,0.430,100,302765.335,0.367,0.022,118.836,0.007,2.045,0.489,0.658
9,2.749E-5,96.836,0.000,148.013,0.200,0.030,0.033,0.198,0.026,0.006,0.009,0.009,0.004,109.490,0.310,0.010,0.003,114.144,-0.863,-0.405,100,178275.905,0.199,0.026,120.466,0.005,2.238,0.447,0.749
10,2.899E-5,146.048,125.132,148.013,0.439,0.030,0.083,0.431,0.028,0.015,0.006,0.011,0.003,174.960,0.053,0.016,0.004,148.013,-2.171,5.525,100,283479.078,0.431,0.029,172.316,0.006,3.275,0.305,0.449
11,2.796E-5,85.407,0.000,146.945,0.109,0.032,0.027,0.107,0.028,0.005,0.008,0.008,0.005,74.404,0.482,0.008,0.002,94.041,-0.461,-0.997,100,159882.329,0.108,0.036,74.427,0.005,1.602,0.624,0.890
12,2.104E-5,133.740,57.079,146.973,0.054,0.035,0.076,0.050,0.031,0.009,0.008,0.006,0.004,5.502,0.046,0.009,0.003,142.014,-1.921,3.414,100,188440.111,0.050,0.033,158.477,0.007,1.388,0.720,0.434
13,5.775E-5,87.088,0.000,147.959,0.186,0.038,0.062,0.178,0.032,0.015,0.010,0.013,0.005,26.418,0.192,0.015,0.005,103.056,-0.555,-1.122,100,336769.139,0.178,0.040,15.255,0.007,2.436,0.411,0.726
14,3.345E-5,97.366,0.000,148.013,0.236,0.042,0.041,0.234,0.035,0.005,0.013,0.011,0.004,89.879,0.245,0.013,0.003,102.126,-0.713,-0.491,100,218099.927,0.235,0.048,84.560,0.005,2.665,0.375,0.725
15,2.516E-4,77.516,0.000,147.857,0.080,0.048,0.191,0.070,0.037,0.020,0.021,0.019,0.017,109.263,0.086,0.022,0.019,98.939,-0.301,-1.620,100,1305687.046,0.077,0.037,111.564,0.019,1.126,0.888,0.787
16,5.128E-5,79.928,0.000,147.959,0.359,0.042,0.061,0.354,0.038,0.011,0.011,0.008,0.008,127.988,0.176,0.011,0.004,91.102,-0.363,-1.411,100,274472.940,0.354,0.039,158.199,0.010,1.024,0.977,0.681
17,4.788E-5,146.021,126.118,148.013,0.042,0.047,0.210,0.036,0.040,0.015,0.013,0.010,0.006,25.787,0.014,0.015,0.007,147.026,-2.141,5.235,100,468143.294,0.036,0.048,4.538,0.011,1.518,0.659,0.401
18,5.886E-5,102.559,3.000,147.959,0.109,0.049,0.069,0.103,0.041,0.012,0.015,0.013,0.006,127.249,0.155,0.017,0.006,108.018,-0.690,-0.394,100,404184.292,0.103,0.042,120.611,0.009,2.429,0.412,0.589
19,3.039E-5,89.610,0.000,147.959,0.426,0.050,0.035,0.422,0.047,0.007,0.007,0.007,0.005,52.278,0.318,0.008,0.003,105.072,-0.594,-1.020,100,182355.660,0.423,0.053,52.431,0.006,1.289,0.776,0.837
20,3.371E-5,129.620,81.306,148.065,0.125,0.058,0.069,0.121,0.051,0.009,0.015,0.011,0.004,116.794,0.090,0.015,0.004,135.110,-0.804,-0.359,100,292553.310,0.123,0.051,100.141,0.007,2.580,0.388,0.430
21,3.483E-5,82.145,0.000,148.013,0.370,0.057,0.038,0.366,0.053,0.008,0.009,0.009,0.005,130.059,0.308,0.010,0.003,97.167,-0.519,-1.136,100,191562.179,0.369,0.053,118.156,0.006,1.659,0.603,0.834
22,2.275E-5,117.767,51.175,148.065,0.154,0.065,0.031,0.150,0.061,0.006,0.007,0.007,0.004,90.047,0.288,0.008,0.003,122.176,-0.552,-0.693,100,179359.032,0.152,0.061,110.659,0.006,1.499,0.667,0.686
23,2.664E-5,127.599,38.133,148.013,0.090,0.069,0.050,0.087,0.064,0.006,0.011,0.009,0.004,91.426,0.133,0.012,0.003,136.097,-1.300,1.485,100,227635.854,0.090,0.064,96.072,0.005,2.438,0.410,0.566
24,6.298E-5,145.148,125.132,148.013,0.481,0.086,0.217,0.476,0.078,0.010,0.017,0.012,0.007,86.909,0.017,0.017,0.009,146.040,-2.049,4.961,100,612089.811,0.478,0.094,75.568,0.009,1.844,0.542,0.492
25,2.908E-5,119.939,36.178,148.065,0.120,0.087,0.044,0.117,0.084,0.009,0.007,0.008,0.005,36.861,0.186,0.010,0.003,124.147,-0.927,0.210,100,233520.439,0.117,0.089,35.287,0.007,1.541,0.649,0.641
26,6.450E-5,62.853,0.000,147.931,0.045,0.090,0.048,0.040,0.085,0.011,0.009,0.010,0.008,178.280,0.346,0.011,0.004,62.984,0.104,-1.568,100,271462.433,0.040,0.088,165.192,0.008,1.311,0.763,0.882
27,7.442E-5,116.194,1.000,148.065,0.239,0.100,0.109,0.235,0.089,0.008,0.026,0.020,0.005,83.413,0.078,0.026,0.009,124.147,-1.355,1.693,100,578996.149,0.237,0.114,82.063,0.008,4.144,0.241,0.478
28,3.212E-5,68.235,0.000,146.973,0.454,0.093,0.031,0.450,0.089,0.007,0.007,0.007,0.006,19.920,0.417,0.007,0.002,79.091,-0.047,-1.696,100,146772.950,0.451,0.095,34.509,0.007,1.104,0.906,0.887
29,2.654E-5,139.217,107.183,148.013,0.458,0.101,0.078,0.454,0.097,0.008,0.009,0.006,0.005,57.113,0.055,0.010,0.004,142.041,-1.290,0.916,100,247388.480,0.454,0.106,61.557,0.007,1.206,0.829,0.535
30,2.902E-5,91.412,0.000,148.065,0.192,0.104,0.029,0.188,0.100,0.007,0.007,0.007,0.005,53.127,0.427,0.009,0.003,106.200,-0.671,-0.869,100,177613.889,0.188,0.105,36.384,0.006,1.413,0.708,0.790
31,4.197E-5,96.022,0.000,148.065,0.149,0.110,0.055,0.145,0.101,0.008,0.014,0.011,0.005,79.987,0.177,0.014,0.004,108.167,-0.766,-0.570,100,269822.732,0.149,0.101,92.911,0.007,2.407,0.415,0.580
32,1.971E-5,143.586,129.129,147.026,0.482,0.111,0.070,0.479,0.107,0.007,0.009,0.006,0.004,59.457,0.051,0.009,0.003,145.053,-1.848,3.148,100,189533.069,0.480,0.116,61.449,0.006,1.505,0.664,0.475
33,3.338E-5,127.606,81.306,146.040,0.050,0.113,0.041,0.047,0.109,0.008,0.008,0.009,0.005,55.839,0.251,0.010,0.004,129.129,-0.750,-0.367,100,285198.887,0.047,0.117,44.012,0.007,1.847,0.541,0.714
34,8.444E-5,65.973,0.000,147.931,0.012,0.122,0.066,0.006,0.115,0.013,0.013,0.014,0.008,49.881,0.246,0.016,0.006,70.014,0.004,-1.571,100,373012.617,0.006,0.128,51.746,0.009,1.890,0.529,0.782
35,2.083E-5,92.576,0.000,145.103,0.250,0.119,0.028,0.246,0.116,0.007,0.006,0.007,0.004,163.828,0.335,0.007,0.002,106.200,-0.827,-0.590,100,129143.299,0.246,0.117,170.380,0.006,1.675,0.597,0.719
36,3.666E-5,94.859,0.000,145.986,0.455,0.121,0.037,0.450,0.116,0.009,0.009,0.010,0.005,40.504,0.345,0.010,0.003,102.126,-0.949,-0.074,100,232877.696,0.452,0.125,60.086,0.006,2.174,0.460,0.764
37,6.686E-5,127.757,61.139,147.959,0.488,0.126,0.096,0.481,0.121,0.016,0.010,0.013,0.006,159.138,0.091,0.016,0.009,132.029,-1.111,0.450,100,571968.884,0.482,0.125,164.407,0.009,2.123,0.471,0.677
38,2.121E-5,54.371,0.000,148.013,0.165,0.128,0.024,0.162,0.125,0.005,0.007,0.006,0.004,66.975,0.451,0.007,0.001,36.098,0.388,-1.518,100,77207.434,0.163,0.132,58.707,0.005,1.472,0.679,0.811
39,4.203E-5,91.792,0.000,148.013,0.172,0.133,0.054,0.168,0.128,0.010,0.010,0.009,0.006,116.503,0.180,0.012,0.004,100.111,-0.430,-0.939,100,258302.611,0.170,0.129,128.125,0.009,1.484,0.674,0.569
40,4.206E-5,118.986,22.000,146.040,0.045,0.138,0.056,0.041,0.132,0.007,0.013,0.011,0.005,86.385,0.171,0.014,0.005,123.162,-1.073,1.341,100,335063.970,0.042,0.145,72.676,0.007,2.293,0.436,0.551
41,6.540E-5,108.623,3.000,148.065,0.154,0.141,0.077,0.150,0.134,0.011,0.017,0.013,0.007,84.862,0.139,0.018,0.007,118.140,-0.750,-0.345,100,475658.890,0.150,0.150,65.842,0.011,1.884,0.531,0.530
