 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,4.291E-5,77.826,0,163,0.125,0.010,0.054,0.121,0.005,0.008,0.009,0.008,0.007,95.208,0.186,0.009,0.003,94,-0.099,-1.714,100,223593.999,0.121,0.013,44.465,0.008,1.122,0.891,0.793
2,2.611E-5,118.931,0,163,0.098,0.030,0.041,0.094,0.027,0.008,0.007,0.006,0.006,36.375,0.200,0.008,0.003,132,-1.115,0.596,100,207892.000,0.097,0.034,57.724,0.006,1.018,0.982,0.684
3,4.247E-5,77.898,0,163,0.091,0.035,0.044,0.086,0.032,0.010,0.008,0.009,0.006,21.880,0.271,0.011,0.003,94,-0.147,-1.656,100,221542.000,0.086,0.039,31.938,0.007,1.612,0.620,0.778
4,2.436E-5,135.582,0,162,0.026,0.040,0.078,0.021,0.036,0.010,0.007,0.006,0.005,160.718,0.050,0.010,0.003,152,-2.223,4.643,100,221135.001,0.021,0.040,171.254,0.007,1.183,0.845,0.520
5,1.275E-4,77.844,0,163,0.047,0.047,0.151,0.039,0.040,0.015,0.015,0.013,0.012,40.558,0.071,0.017,0.010,92,-0.071,-1.756,100,664475.002,0.039,0.051,31.527,0.014,1.112,0.900,0.714
6,3.508E-5,108.731,0,163,0.035,0.049,0.065,0.031,0.044,0.008,0.010,0.008,0.006,101.578,0.103,0.010,0.004,137,-0.916,-0.693,100,255409.003,0.034,0.054,78.288,0.007,1.315,0.760,0.651
7,3.522E-5,89.863,0,163,0.101,0.068,0.040,0.097,0.065,0.008,0.008,0.007,0.006,105.289,0.276,0.009,0.003,103,-0.405,-1.186,100,211898.000,0.097,0.065,149.967,0.007,1.217,0.822,0.751
8,4.854E-5,63.755,0,163,0.160,0.076,0.041,0.156,0.069,0.008,0.011,0.010,0.006,80.973,0.354,0.011,0.003,53,0.281,-1.469,100,207205.000,0.159,0.081,81.957,0.008,1.498,0.668,0.804
9,2.345E-5,117.834,0,162,0.021,0.094,0.044,0.015,0.091,0.010,0.008,0.009,0.003,39.659,0.152,0.011,0.003,133,-1.137,0.653,100,184999.000,0.015,0.099,34.032,0.005,2.862,0.349,0.618
10,3.090E-5,93.508,0,163,0.105,0.097,0.042,0.102,0.092,0.008,0.008,0.008,0.005,129.735,0.222,0.010,0.003,112,-0.618,-0.982,100,193468.000,0.104,0.093,127.569,0.006,1.622,0.616,0.713
11,4.639E-5,80.975,0,163,0.191,0.100,0.056,0.184,0.097,0.016,0.007,0.014,0.004,10.587,0.185,0.016,0.004,91,-0.199,-1.441,100,251508.000,0.184,0.102,14.566,0.006,3.482,0.287,0.601
12,4.316E-5,85.982,0,163,0.428,0.131,0.035,0.423,0.127,0.009,0.007,0.009,0.006,0.471,0.431,0.010,0.004,99,-0.302,-1.307,100,248487.000,0.423,0.132,15.642,0.007,1.427,0.701,0.899
