"","reactor","flowSim","RPM","median_w","mode_w"
"1","iCTB","Turbulent","45",11.4635372098225,8.63464995758556
"2","iCTB","Turbulent","120",25.5616569236253,18.1570479407174
"3","iCTB","Turbulent","240",48.9185744561794,37.043989980112
"4","oCTB","Turbulent","50",7.97612230039952,7.23820623015951
"5","oCTB","Turbulent","100",15.3341264452676,13.9398693543144
"6","oCTB","Turbulent","200",28.8879621338788,27.0057832452737
