reactor,shear,mean,sd,kurt,skew,med,w.cv
MED,50 1/s,42.4392636039149,36.0206408523995,0.415594857410861,1.37025623519478,13.8720639117472,0.848757442838304
MED,100 1/s,29.7197600742539,14.4758405848827,-0.236671775015561,0.770043642260353,13.860193511848,0.487077976023873
MED,200 1/s,41.1666264074359,31.0338435721525,1.61404709019785,1.52878704055017,13.6688061891473,0.75385928555338
MED,250 1/s,25.1779953688431,12.1779435956696,-0.279097907964961,0.833588590228985,12.9141266942557,0.483674074018593
SQUAT,50 1/s,31.4404465211946,17.6818708127532,-0.252957806768563,0.897300068701407,13.6000669387723,0.562392483860989
SQUAT,100 1/s,32.1125960319512,21.2789433297867,3.41805592611285,1.87141929092396,13.9221917925229,0.662635412864617
SQUAT,200 1/s,27.1911424368022,13.0732854776824,-0.507558843963398,0.69286091816825,13.1762607810845,0.480792063373851
SQUAT,250 1/s,32.96118493,22.3712565344042,2.3954294529186,1.65701891463783,13.4370513599765,0.678715179139168
TALL,50 1/s,37.4310059659583,27.0165112110353,0.647266666970032,1.3246225038815,13.7629901773703,0.721768237690579
TALL,100 1/s,39.1439097138016,27.3209851284908,0.388859007534134,1.23878299240193,14.0831891622557,0.697962603333355
TALL,200 1/s,28.9975369894588,14.7987540394579,-0.0756703030783772,0.889155173413776,13.5534241409158,0.510345207761526
TALL,250 1/s,24.976432194737,12.2824262279777,0.517751739768462,1.09535060207384,13.1184614348067,0.49176063787709
